numero,nombre,partido,periodo
1,"April 30, 1789–March 4, 1797",1788–89  1792,
2,"March 4, 1797–March 4, 1801",1796,
3,"March 4, 1801–March 4, 1809",1800  1804,
4,"March 4, 1809–March 4, 1817",1808  1812,
5,"March 4, 1817–March 4, 1825",1816  1820,
6,"March 4, 1825–March 4, 1829",1824,
7,"March 4, 1829–March 4, 1837",1828  1832,
8,"March 4, 1837–March 4, 1841",1836,
9,"March 4, 1841–April 4, 1841[e]",1840,
10,"April 4, 1841[i]–March 4, 1845",–,
11,"March 4, 1845–March 4, 1849",1844,
12,"March 4, 1849–July 9, 1850[e]",1848,
13,"July 9, 1850[k]–March 4, 1853",–,
14,"March 4, 1853–March 4, 1857",1852,
15,"March 4, 1857–March 4, 1861",1856,
16,"March 4, 1861–April 15, 1865[e]",1860  1864,
17,"April 15, 1865[m]–March 4, 1869",–,
18,"March 4, 1869–March 4, 1877",1868  1872,
19,"March 4, 1877–March 4, 1881",1876,
20,"March 4, 1881–September 19, 1881[e]",1880,
21,"September 19, 1881[o]–March 4, 1885",–,
22,"March 4, 1885–March 4, 1889",1884,
23,"March 4, 1889–March 4, 1893",1888,
24,"March 4, 1893–March 4, 1897",1892,
25,"March 4, 1897–September 14, 1901[e]",1896  1900,
26,"September 14, 1901[p]–March 4, 1909",–  1904,
27,"March 4, 1909–March 4, 1913",1908,
28,"March 4, 1913–March 4, 1921",1912  1916,
29,"March 4, 1921–August 2, 1923[e]",1920,
30,"August 2, 1923[q]–March 4, 1929",–  1924,
31,"March 4, 1929–March 4, 1933",1928,
32,"March 4, 1933–April 12, 1945[e]",1932  1936  1940  1944,
33,"April 12, 1945[r]–January 20, 1953",–  1948,
34,"January 20, 1953–January 20, 1961",1952  1956,
35,"January 20, 1961–November 22, 1963[e]",1960,
36,"November 22, 1963[s]–January 20, 1969",–  1964,
37,"January 20, 1969–August 9, 1974[h]",1968  1972,
38,"August 9, 1974[u]–January 20, 1977",–,
39,"January 20, 1977–January 20, 1981",1976,
40,"January 20, 1981–January 20, 1989",1980  1984,
41,"January 20, 1989–January 20, 1993",1988,
42,"January 20, 1993–January 20, 2001",1992  1996,
43,"January 20, 2001–January 20, 2009",2000  2004,
44,"January 20, 2009–January 20, 2017",2008  2012,
45,"January 20, 2017–January 20, 2021",2016,
46,"January 20, 2021–January 20, 2025",2020,
47,"January 20, 2025–Incumbent",2024,
